what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1358837320713
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358837323935
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358837336597
activated,editor,org.eclipse.wst.xml.ui,1.1.105.v201106142156,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1358837338840
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1358837343169
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1358837345242
executed,command,org.eclipse.wst.sse.ui,1.2.5.v201108191505,"org.eclipse.wst.sse.ui.add.block.comment",1358837352087
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358837357437
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358837387495
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1358837392202
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1358837405314
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1358837416557
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1358837419181
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1358837422631
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1358837424450
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1358837427087
activated,editor,org.eclipse.wst.xml.ui,1.1.105.v201106142156,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1358837433621
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358837558970
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358837788422
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1358837792922
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1358837794010
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1358837796950
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358837799032
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358837839435
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358837868292
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358837875030
activated,editor,org.eclipse.wst.xml.ui,1.1.105.v201106142156,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1358837875735
executed,command,org.eclipse.wst.sse.ui,1.2.5.v201108191505,"org.eclipse.wst.sse.ui.add.block.comment",1358837901601
executed,command,org.eclipse.wst.sse.ui,1.2.5.v201108191505,"org.eclipse.wst.sse.ui.add.block.comment",1358837908466
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1358837916176
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1358837917500
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1358837920556
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358837922973
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358837935173
