what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.203.v201109140236,"org.eclipse.wst.ws.service.policy.ui",1363850036428
started,bundle,org.eclipse.wst.ws.service.policy,1.0.204.v201011011834,"org.eclipse.wst.ws.service.policy",1363850036432
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1363850036462
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1363850036465
started,bundle,com.liferay.ide.eclipse.sdk,1.6.0.v201207162359,"com.liferay.ide.eclipse.sdk",1363850036499
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1363850039022
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PropertiesFileEditor",1363850042395
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PropertiesFileEditor",1363850042431
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1363850047711
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1363850053768
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1363850139998
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1363850172267
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1363850197155
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1363850207029
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1363852491214
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1363852501208
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1363852533969
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PropertiesFileEditor",1363852551516
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1363852553516
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1363852823312
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1363852829961
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1363852853510
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1363852855650
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1363852900296
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1363852901407
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1363853006715
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1363853007248
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1363853007554
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1363853007565
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1363853008168
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1363853172127
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1363853173189
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1363853175596
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1363853179335
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1363853179422
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PropertiesFileEditor",1363853185460
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1363853186671
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1363853190492
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1363853211934
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PropertiesFileEditor",1363853213306
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1363853214191
activated,editor,org.eclipse.wst.xml.ui,1.1.105.v201106142156,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1363853229099
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1363853236343
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PropertiesFileEditor",1363853237256
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1363853240692
activated,editor,org.eclipse.wst.xml.ui,1.1.105.v201106142156,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1363853242727
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1363853245813
