what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jdt.launching,3.5.200.v20110105_r362,"org.eclipse.jdt.launching",1358761524602
started,bundle,org.eclipse.jst.j2ee.core,1.2.7.v201110060300,"org.eclipse.jst.j2ee.core",1358761524689
started,bundle,org.eclipse.jem,2.0.402.v201106132000,"org.eclipse.jem",1358761524713
started,bundle,org.eclipse.wst.validation,1.2.204.v201109220700,"org.eclipse.wst.validation",1358761524740
started,bundle,org.eclipse.jst.j2ee,1.1.406.v201110130300,"org.eclipse.jst.j2ee",1358761524761
started,bundle,org.eclipse.jst.j2ee.web,1.1.405.v201110130300,"org.eclipse.jst.j2ee.web",1358761524763
started,bundle,org.eclipse.jst.common.frameworks,1.1.404.v201103311600,"org.eclipse.jst.common.frameworks",1358761524788
started,bundle,org.eclipse.jst.j2ee.ui,1.1.406.v201110060300,"org.eclipse.jst.j2ee.ui",1358761524902
started,bundle,org.eclipse.jst.common.project.facet.ui,1.4.102.v201008182136,"org.eclipse.jst.common.project.facet.ui",1358761525083
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358761525183
started,bundle,org.eclipse.jst.server.core,1.2.102.v20110309,"org.eclipse.jst.server.core",1358761543002
started,bundle,org.eclipse.jst.server.tomcat.core,1.1.205.v20111005,"org.eclipse.jst.server.tomcat.core",1358761543005
started,bundle,org.eclipse.jst.server.tomcat.ui,1.1.200.v20100418,"org.eclipse.jst.server.tomcat.ui",1358761543011
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358761587439
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358761590208
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358761612341
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1358761612346
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358761631605
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358761640931
activated,perspective,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.JavaPerspective",1358761642674
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1358761642694
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358761645810
started,bundle,org.eclipse.jst.jee.ui,1.0.305.v201105110300,"org.eclipse.jst.jee.ui",1358761654018
started,bundle,org.eclipse.jst.j2ee.navigator.ui,1.1.404.v201106290200,"org.eclipse.jst.j2ee.navigator.ui",1358761654028
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358761657096
started,bundle,org.eclipse.jdt.apt.core,3.3.402.R36_v20110120-1000,"org.eclipse.jdt.apt.core",1358761657162
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.301.R36_v20100727-0110,"org.eclipse.jdt.apt.pluggable.core",1358761657168
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1358761672409
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1358761672454
started,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1358761672507
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358761672542
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358761681285
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1358761681293
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358761691239
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358761693590
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1358761693597
started,bundle,com.liferay.ide.eclipse.sdk,1.6.0.v201207162359,"com.liferay.ide.eclipse.sdk",1358761694646
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358761695749
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358761711471
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1358761711484
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358761720469
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358761720964
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358761740000
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358761744386
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1358761755908
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1358761762420
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358761767719
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1358761767911
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1358761768050
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1358761768489
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358761769838
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358761778390
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1358761780678
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1358761781637
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358761787542
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358761790828
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1358761792684
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1358761802169
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1358761803928
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1358761805903
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1358761809686
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358761814408
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358761823536
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358761827243
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PropertiesFileEditor",1358761837826
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PropertiesFileEditor",1358761837867
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358761837904
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1358761839167
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1358761842226
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358761843267
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358761847406
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1358761848938
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1358761851702
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1358761858199
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1358761859433
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358761868931
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358761872614
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PropertiesFileEditor",1358761874428
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1358761879901
