what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1363846602078
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1363846609148
activated,editor,jd.ide.eclipse,0.1.3,"jd.ide.eclipse.editors.JDClassFileEditor.win32.x86_64",1363846614104
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1363846627320
no handler,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1363846630040
no handler,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1363846630040
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1363846631944
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1363846632082
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1363846635698
activated,editor,jd.ide.eclipse,0.1.3,"jd.ide.eclipse.editors.JDClassFileEditor.win32.x86_64",1363846665187
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1363846675004
opened,editor,jd.ide.eclipse,0.1.3,"jd.ide.eclipse.editors.JDClassFileEditor.win32.x86_64",1363846681986
activated,editor,jd.ide.eclipse,0.1.3,"jd.ide.eclipse.editors.JDClassFileEditor.win32.x86_64",1363846682014
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1363846716541
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1363846800413
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1363846803457
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1363846807114
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1363846807922
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1363847839454
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1363847840722
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1363847847745
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1363847852297
started,bundle,org.eclipse.wst.jsdt.core,1.1.8.v201109150205,"org.eclipse.wst.jsdt.core",1363847852434
started,bundle,org.eclipse.wst.jsdt.ui,1.1.7.v201109150205,"org.eclipse.wst.jsdt.ui",1363847852477
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1363847852764
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1363847852841
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1363847852865
activated,editor,jd.ide.eclipse,0.1.3,"jd.ide.eclipse.editors.JDClassFileEditor.win32.x86_64",1363847855126
activated,editor,jd.ide.eclipse,0.1.3,"jd.ide.eclipse.editors.JDClassFileEditor.win32.x86_64",1363847855142
closed,editor,jd.ide.eclipse,0.1.3,"jd.ide.eclipse.editors.JDClassFileEditor.win32.x86_64",1363847855142
activated,editor,org.eclipse.wst.xml.ui,1.1.105.v201106142156,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1363847856349
closed,editor,jd.ide.eclipse,0.1.3,"jd.ide.eclipse.editors.JDClassFileEditor.win32.x86_64",1363847856349
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1363847858148
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1363847861096
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1363847872749
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1363847872868
