what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1358763508526
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1358763510775
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1358763512464
activated,editor,org.eclipse.wst.xml.ui,1.1.105.v201106142156,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1358763523771
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358763531502
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358763537655
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1358763543209
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1358763551815
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1358763552929
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1358763554965
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1358763557042
activated,editor,org.eclipse.wst.xml.ui,1.1.105.v201106142156,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1358763561393
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1358763573319
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1358763575663
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1358763587131
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1358763589133
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1358763591719
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1358763593717
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1358763603634
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358763604432
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358763628487
activated,editor,org.eclipse.wst.xml.ui,1.1.105.v201106142156,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1358763629423
executed,command,org.eclipse.wst.sse.ui,1.2.5.v201108191505,"org.eclipse.wst.sse.ui.remove.block.comment",1358763646134
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358763649997
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358763652924
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1358763655958
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358763662675
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358763670465
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1358763673004
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358763675568
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358763681046
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1358763682921
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358763690718
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358763693144
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358763694414
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358763709705
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358763714077
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358763726391
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1358763731186
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358763748487
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358763757289
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1358763762138
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1358763765578
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1358763769038
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1358763770311
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1358763772032
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1358763776471
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358763780952
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358763799478
activated,editor,org.eclipse.wst.xml.ui,1.1.105.v201106142156,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1358763801357
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PropertiesFileEditor",1358763803142
activated,editor,org.eclipse.wst.xml.ui,1.1.105.v201106142156,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1358763804900
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358763811594
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358763825772
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1358763829274
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358763832263
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358763835596
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1358763838238
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1358763848752
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1358763851035
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1358763853131
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358763854685
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358763862231
activated,editor,org.eclipse.wst.xml.ui,1.1.105.v201106142156,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1358763864147
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358763867922
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358763887634
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1358763893298
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1358763902623
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1358763903859
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1358763906279
started,bundle,org.eclipse.mylyn.java.tasks,3.7.1.v20120425-0100,"org.eclipse.mylyn.java.tasks",1358763906415
started,bundle,org.eclipse.wst.html.ui,1.0.505.v201106160200,"org.eclipse.wst.html.ui",1358763906468
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1358763907916
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1358763909683
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1358763910939
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1358763913548
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1358763914736
activated,editor,org.eclipse.wst.xml.ui,1.1.105.v201106142156,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1358763918345
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358763923604
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358763931953
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1358763937967
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358763939270
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358763962266
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358763975409
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358765246902
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358765248147
