what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358839611202
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358839611936
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358839617018
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358839617024
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358839719606
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1358839723963
started,bundle,com.liferay.ide.eclipse.core,1.6.0.v201207162359,"com.liferay.ide.eclipse.core",1358839726487
started,bundle,com.liferay.ide.eclipse.layouttpl.core,1.6.0.v201207162359,"com.liferay.ide.eclipse.layouttpl.core",1358839726487
started,bundle,com.liferay.ide.eclipse.portlet.core,1.6.0.v201207162359,"com.liferay.ide.eclipse.portlet.core",1358839726519
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1358839726647
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1358839731167
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1358839735562
started,bundle,com.liferay.ide.eclipse.portlet.ui,1.6.0.v201207162359,"com.liferay.ide.eclipse.portlet.ui",1358839735574
started,bundle,com.liferay.ide.eclipse.project.core,1.6.0.v201207162359,"com.liferay.ide.eclipse.project.core",1358839735583
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1358839738886
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358839762485
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358839763633
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1358839763660
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358839789107
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1358839793032
